"Default welcome msg!","Mensagem padrão de boas-vindas!"
"Sign In","Login"
"or","ou"
"Create an Account","Criar conta"
"Search entire store here...","Pesquisar"
"Enter your email address","Endereço de e-mail"
"Subscribe,"Inscreva-se"
"Search Terms","Termos de pesquisa"
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"Advanced Search","Busca Avançada"
"Orders and Returns","Pedidos e Devoluções"
"Contact Us","Contato"
"You have no items in your shopping cart.","Você não tem itens no seu carrinho de compras."
"Registered Customers","Login"
"Customer Login","Login do cliente"
"If you have an account, sign in with your email address.","Se você tiver uma conta, faça login com seu endereço de e-mail."
"Email","E-mail"
"Password","Senha"
"Forgot Your Password?","Esqueceu a Senha?"
"New Customers","Novo Cliente"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Criar uma conta tem muitos benefícios: check-out mais rápido, manter mais de um endereço, rastrear pedidos e muito mais."
"Please enter your email address below to receive a password reset link.","Digite seu endereço de e-mail abaixo para receber um link de redefinição de senha."
"Please type the letters and numbers below","Por favor digite as letras e números abaixo"
"Reload captcha","Novo captcha"
"Reset My Password","Resetar Senha"
"Subscribe","Inscreva-se"
"Search,"Pesquisar"
"My Account","Minha Conta"
"My Orders","Meus Pedidos"
"My Downloadable Products","Meus Downloads"
"My Wish List","Wishlist"
"Address Book","Endereços"
"Account Information","Informações da Conta"
"Stored Payment Methods","Métodos de pagamento"
"My Product Reviews","Minhas Avaliações"
"Newsletter Subscriptions","Newsletter"
"This is a required field.","Este é um campo obrigatório.",
"This email address is already subscribed.","Este endereço de e-mail já está inscrito."
"Something went wrong with the subscription.","Algo deu errado com a assinatura."
"Add to Cart","Adicionar ao Carrinho"
"You saved the address.","Você salvou o endereço."
